t,u[0],u[1],u[2]
2.09,-7.53627,-6.43782,26.5263
2.095,-7.48134,-6.42348,26.4152
2.1,-7.42845,-6.41324,26.3033
2.105,-7.37769,-6.40705,26.1908
2.11,-7.32916,-6.40487,26.0779
2.115,-7.28294,-6.40663,25.9649
2.12,-7.23913,-6.41229,25.852
2.125,-7.19779,-6.42178,25.7394
2.13,-7.15899,-6.43504,25.6274
2.135,-7.12279,-6.452,25.516
2.14,-7.08925,-6.47259,25.4056
2.145,-7.05842,-6.49674,25.2963
2.15,-7.03033,-6.52439,25.1883
2.155,-7.00503,-6.55545,25.0818
2.16,-6.98256,-6.58986,24.9769
2.165,-6.96292,-6.62754,24.874
2.17,-6.94615,-6.66842,24.7731
2.175,-6.93227,-6.71242,24.6744
2.18,-6.92127,-6.75947,24.578
2.185,-6.91318,-6.80949,24.4842
2.19,-6.908,-6.8624,24.3932
2.195,-6.90572,-6.91813,24.3049
2.2,-6.90634,-6.97659,24.2198
2.205,-6.90985,-7.03772,24.1377
2.21,-6.91624,-7.10142,24.059
2.215,-6.9255,-7.16761,23.9838
2.22,-6.93761,-7.23621,23.9122
2.225,-6.95254,-7.30714,23.8444
2.23,-6.97027,-7.3803,23.7805
2.235,-6.99077,-7.4556,23.7207
2.24,-7.01401,-7.53295,23.665
2.245,-7.03996,-7.61225,23.6136
2.25,-7.06857,-7.69338,23.5667
2.255,-7.09981,-7.77626,23.5244
2.26,-7.13364,-7.86076,23.4868
2.265,-7.16999,-7.94676,23.454
2.27,-7.20883,-8.03415,23.4262
2.275,-7.2501,-8.1228,23.4034
2.28,-7.29373,-8.21256,23.3858
2.285,-7.33967,-8.3033,23.3735
2.29,-7.38785,-8.39487,23.3666
2.295,-7.4382,-8.48711,23.3652
2.3,-7.49065,-8.57986,23.3693
2.305,-7.54511,-8.67294,23.379
2.31,-7.6015,-8.76618,23.3945
2.315,-7.65974,-8.85939,23.4157
2.32,-7.71972,-8.95236,23.4428
2.325,-7.78135,-9.0449,23.4758
2.33,-7.84453,-9.13679,23.5147
2.335,-7.90914,-9.22781,23.5595
2.34,-7.97507,-9.31773,23.6103
2.345,-8.04221,-9.4063,23.6671
2.35,-8.11041,-9.49329,23.7298
2.355,-8.17956,-9.57844,23.7983
